thesis_id,school,department,degree,year_conferred,author_name_standardized,author_name_raw,title,advisor,official_record_url,official_pdf_url,pdf_public_status,source,retrieved_date,notes
MIT-2020-025,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Hu, Zhi","Hu, Zhi,Ph. D.Massachusetts Institute of Technology.",Large-scale high-density terahertz radiator and receiver Arrays on silicon chips,"Han, Ruonan",https://hdl.handle.net/1721.1/127026,https://dspace.mit.edu/server/api/core/bitstreams/cf76c74f-0de9-423b-8f03-d6ec9aed4f19/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-026,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Notaros, Jelena","Notaros, Jelena.","Integrated optical phased arrays : augmented reality, LiDAR, and beyond","Watts, Michael R.",https://hdl.handle.net/1721.1/127027,https://dspace.mit.edu/server/api/core/bitstreams/bffbf35a-c26c-4d8e-9140-3768ca064489/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-027,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Noraky, James","Noraky, James.",Algorithms and systems for low power time-of-flight imaging,"Sze, Vivienne",https://hdl.handle.net/1721.1/127029,https://dspace.mit.edu/server/api/core/bitstreams/b1bd27a7-3c9b-4cc8-94ad-aaef783b5aa0/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-028,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"O'Rourke, Colm J","O'Rourke, Colm J.",Decentralized power systems : reference-frame theory and stability region generation,"Kirtley, James L.",https://hdl.handle.net/1721.1/127082,https://dspace.mit.edu/server/api/core/bitstreams/12af8531-d789-49b9-af6b-4c4466db635d/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-029,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Kamath, Pritish","Kamath, Pritish.",Some hardness escalation results in computational complexity theory,"Rubinfeld, Ronitt; Sudan, Madhu",https://hdl.handle.net/1721.1/128290,https://dspace.mit.edu/server/api/core/bitstreams/f9609e76-ab79-48c3-adaf-626a9dcd413c/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-030,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Koolen, Frans Anton","Koolen, Frans Anton.",Balance control and locomotion planning for humanoid robots using nonlinear centroidal models,"Tedrake, Russ",https://hdl.handle.net/1721.1/128291,https://dspace.mit.edu/server/api/core/bitstreams/16775bc3-1825-4e0a-bde3-2b0838d61b8e/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-031,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Metsky, Hayden C","Metsky, Hayden C.",Design methods for sensitive and comprehensive microbial surveillance,"Sabeti, Pardis C.",https://hdl.handle.net/1721.1/128293,https://dspace.mit.edu/server/api/core/bitstreams/c86f5ac0-c73b-40a7-a12d-a895d1272770/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-032,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Perez De Rosso, Santiago","Perez De Rosso, Santiago(Santiago Nicolas)",Declarative assembly of web applications from predefined concepts,"Jackson, Daniel",https://hdl.handle.net/1721.1/128295,https://dspace.mit.edu/server/api/core/bitstreams/c108c743-ab5e-4a5a-ada4-e9ab3872d658/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-033,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Raval, Manan","Raval, Manan.",Integrated optical phased arrays for three-dimensional display applications,"Watts, Michael R.",https://hdl.handle.net/1721.1/128296,https://dspace.mit.edu/server/api/core/bitstreams/13440e15-0b97-4e76-b2cf-bf4991210cc9/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-034,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Recasens Continente, Adriá","Recasens Continente, Adriá.",Learning through looking and listening,"Torralba, Antonio",https://hdl.handle.net/1721.1/128297,https://dspace.mit.edu/server/api/core/bitstreams/36b18fba-cca5-4fd1-8498-8887a6fdd44e/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
